seed	nn_agent_holdout_rank	ridge_agent_holdout_rank	delta_agent_holdout_rank	nn_broker_holdout_rank	ridge_broker_holdout_rank	delta_broker_holdout_rank	nn_rank_gap	ridge_rank_gap	delta_rank_gap	nn_agent_holdout_r2	ridge_agent_holdout_r2	delta_agent_holdout_r2	nn_broker_holdout_r2	ridge_broker_holdout_r2	delta_broker_holdout_r2	nn_r2_gap	ridge_r2_gap	delta_r2_gap	nn_output_gap	ridge_output_gap	delta_output_gap	nn_outsourcing_rate	ridge_outsourcing_rate	delta_outsourcing_rate	nn_access_fraction	ridge_access_fraction	delta_access_fraction	nn_betweenness	ridge_betweenness	delta_betweenness	nn_mean_degree	ridge_mean_degree	delta_mean_degree
21	0.5873155722326455	0.5517544090056286	-0.03556116322701697	0.9073877110694184	0.8154228893058162	-0.09196482176360221	0.320072138836773	0.26366848030018764	-0.056403658536585355	-2.5858345957018907	-1.8865920427279057	0.699242552973985	0.8039713391933316	0.45397178310893826	-0.34999955608439337	3.3898059348952216	2.340563825836844	-1.0492421090583774	0.7800619934998838	0.6913772797959234	-0.08868471370396036	0.9203335127360214	0.8994934133393478	-0.020840099396673528	0.13813534714586906	0.1225067927320688	-0.01562855441380026	0.7364767517730713	0.7583563897014727	0.02187963792840142	21.76795	18.266550000000002	-3.5013999999999967
22	0.5304775797373359	0.4781067542213885	-0.052370825515947406	0.9312045966228892	0.8279035647279549	-0.10330103189493434	0.4007270168855534	0.3497968105065665	-0.050930206378986875	-2.63408436823114	-2.4086558549325403	0.2254285132985996	0.773413086316797	0.14660301838896603	-0.6268100679278309	3.4074974545479373	2.555258873321506	-0.8522385812264313	0.6968074505254076	0.6178775331671859	-0.07892991735822175	0.9820247681706755	0.9282041372737432	-0.05382063089693234	0.10013088631495197	0.1151107941561796	0.01497990784122763	0.8414822023292665	0.7758066397835258	-0.0656755625457407	16.4619	16.389650000000003	-0.07224999999999682
23	0.4557469981238274	0.4730989681050657	0.01735196998123828	0.8211836772983114	0.8375616322701689	0.016377954971857456	0.365436679174484	0.3644626641651032	-0.0009740150093808242	-4.132433067720606	-2.95709785877699	1.1753352089436158	0.4643011056788316	0.4399283494910254	-0.02437275618780621	4.596734173399436	3.397026208268015	-1.1997079651314206	0.5544585484639042	0.35629203394416664	-0.19816651451973755	0.9924031309585473	0.9555258743946468	-0.03687725656390051	0.0855061146616605	0.11018273193683661	0.024676617275176116	0.8735559282109019	0.8504504441439039	-0.023105484066997972	16.0672	17.383599999999998	1.316399999999998
24	0.5109746716697935	0.5013252345215761	-0.009649437148217421	0.9332151031894936	0.7891783302063788	-0.1440367729831148	0.4222404315196998	0.287853095684803	-0.13438733583489682	-2.9948238538803844	-1.9468307712522517	1.0479930826281327	0.8905479731017092	0.30088293514923825	-0.5896650379524709	3.885371826982093	2.2477137064014903	-1.637658120580603	0.7855698072161802	0.6387298634627645	-0.1468399437534157	0.9829539921486597	0.906625498279045	-0.07632849386961471	0.09817511352328501	0.11900152419641512	0.02082641067313011	0.8127687874648466	0.7185865370915177	-0.09418225037332895	16.70435	18.35535	1.6509999999999998
25	0.451295497185741	0.4563969981238274	0.005101500938086367	0.9534445590994369	0.8529772045028144	-0.10046735459662248	0.502149061913696	0.39658020637898694	-0.10556885553470907	-4.17263390086144	-3.774831983104402	0.39780191775703777	0.8193420384573633	0.3399740710088861	-0.4793679674484772	4.991975939318804	4.114806054113288	-0.8771698852055163	0.5953216290486835	0.4896068101356724	-0.10571481891301104	0.990420755723026	0.9586605495715492	-0.03176020615147679	0.10474117121218933	0.11616795856557464	0.011426787353385315	0.8046320570958541	0.7664035330482772	-0.03822852404757682	17.82145	18.80035	0.978900000000003
26	0.4576534709193246	0.48084737335834904	0.023193902439024416	0.8743881801125705	0.8019167917448404	-0.07247138836773004	0.41673470919324584	0.32106941838649156	-0.09566529080675429	-3.080537365579451	-2.1171433919538196	0.9633939736256312	0.7321048541064281	0.5146431775181635	-0.21746167658826465	3.812642219685879	2.6317865694719824	-1.1808556502138967	0.45455085873771195	0.376294511735482	-0.07825634700222994	0.9707570754436745	0.91627492123606	-0.054482154207614486	0.1287674426825105	0.12309996655209024	-0.0056674761304202625	0.7853009028701411	0.7558433334002439	-0.029457569469897193	20.10455	19.0514	-1.0531499999999987
27	0.48167401500938106	0.44590384615384604	-0.03577016885553502	0.8978200750469044	0.8227435272045028	-0.07507654784240159	0.4161460600375234	0.37683968105065674	-0.039306378986866675	-3.200081722508254	-2.898351530318448	0.3017301921898059	0.7849882814623713	0.5356400352108476	-0.24934824625152374	3.985070003970626	3.433991565529296	-0.5510784384413299	0.47934763306289485	0.4262339193088576	-0.05311371375403723	0.9646553609685415	0.9692875731720937	0.004632212203552144	0.13177637015701374	0.11587721866276024	-0.0158991514942535	0.793559013799711	0.8050091860181514	0.011450172218440358	19.583199999999998	18.9905	-0.5926999999999971
28	0.47899287054409	0.5141969981238274	0.03520412757973734	0.9463908067542214	0.785490243902439	-0.16090056285178234	0.46739793621013137	0.2712932457786115	-0.19610469043151985	-3.661655244699477	-1.9668130512070985	1.6948421934923783	0.9083746623507615	0.3289033571445802	-0.5794713052061813	4.570029907050238	2.295716408351679	-2.2743134986985596	0.6081917541603099	0.47525072270846563	-0.13294103145184427	0.9788744315469735	0.905783242075552	-0.07309118947142146	0.10673394864792615	0.1151761762477392	0.008442227599813043	0.8449252451995894	0.7693112416066935	-0.07561400359289594	18.307350000000003	18.9934	0.686049999999998
29	0.4981864915572233	0.5258069418386492	0.0276204502814259	0.9510035647279549	0.8004991557223265	-0.15050440900562834	0.4528170731707316	0.27469221388367726	-0.17812485928705435	-2.9697958938436164	-1.5521941594300304	1.417601734413586	0.9254441159641402	0.3646006337715528	-0.5608434821925874	3.895240009807756	1.9167947932015834	-1.9784452166061728	0.7092736169438392	0.5244128731378707	-0.1848607438059685	0.9954896524065804	0.9121144246729029	-0.08337522773367745	0.09469395084176789	0.1360611126114314	0.0413671617696635	0.8187635498964104	0.7337089927705461	-0.0850545571258643	16.57	18.951550000000005	2.3815500000000043
30	0.5935547842401501	0.5247767354596623	-0.06877804878048777	0.9103257973733582	0.8614957786116323	-0.04883001876172588	0.3167710131332081	0.3367190431519699	0.019948030018761775	-2.1892082218930007	-1.6968495915755457	0.49235863031745497	0.7172808712552516	0.4431787644533326	-0.27410210680191904	2.9064890931482528	2.140028356028878	-0.7664607371193748	0.7749576058277224	0.680297131911542	-0.09466047391618049	0.9950600918460258	0.9366728481954348	-0.058387243650591	0.1051146262379566	0.09600830219349478	-0.009106324044461822	0.8023621589881007	0.6757586654129027	-0.12660349357519796	17.328500000000002	19.614	2.285499999999999
