contribution	rho	eta	metric	estimate	se	lower	upper	n
assessment	0.0	0.01	agent_holdout_rank	-0.07325299050542951	0.0064001506827354665	-0.0866486598362326	-0.05985732117462641	20
assessment	0.0	0.01	betweenness	0.21879580935946494	0.010946729654045792	0.19588404087644234	0.24170757784248753	20
assessment	0.0	0.01	broker_fill_rate	0.005478639831852544	0.0002986893168136376	0.004853475906966816	0.0061038037567382715	20
assessment	0.0	0.01	broker_holdout_rank	-0.16110225045956758	0.014159031298158315	-0.19073744355373304	-0.13146705736540212	20
assessment	0.0	0.01	broker_net_output_per_requested_position	0.13208915326197287	0.017870102438758157	0.09468659900291146	0.1694917075210343	20
assessment	0.0	0.01	broker_selected_rank	0.00317105061478537	0.002318081570114624	-0.0016807498715451204	0.00802285110111586	20
assessment	0.0	0.01	mean_degree	-10.549562499999999	0.5075070859613559	-11.611787038699783	-9.487337961300215	20
assessment	0.0	0.01	net_output_per_requested_position	0.27775206392740814	0.011833362067191416	0.2529845524762537	0.3025195753785626	20
assessment	0.0	0.01	outsourcing_rate	0.16068101144987917	0.008467622767669825	0.14295807331349075	0.1784039495862676	20
assessment	0.0	0.01	q_gap	0.3967228799480308	0.05984125870117636	0.2714736860403981	0.5219720738556635	20
assessment	0.0	0.01	rank_gap	-0.08784925995413806	0.01618434814120878	-0.12172348991860645	-0.05397502998966967	20
assessment	0.0	0.01	self_fill_rate	0.0019408108142964786	0.00047250598127664904	0.0009518444296326499	0.002929777198960307	20
assessment	0.0	0.01	self_net_output_per_requested_position	-0.27146468714206223	0.06062578828364627	-0.39835592033719935	-0.1445734539469251	20
assessment	0.0	0.03	access_fraction	-0.10308801532922476	0.0040718033012949436	-0.11161039758365425	-0.09456563307479528	20
assessment	0.0	0.03	agent_holdout_rank	-0.05346567404817404	0.0071102347251792925	-0.06834756636046356	-0.038583781735884524	20
assessment	0.0	0.03	betweenness	0.11309294883479484	0.00660741685851233	0.09926346641242555	0.12692243125716413	20
assessment	0.0	0.03	broker_fill_rate	0.005677196841656301	0.00029370965505086594	0.005062455468622872	0.00629193821468973	20
assessment	0.0	0.03	broker_holdout_rank	-0.15713034188034192	0.014692541790021978	-0.18788218526725725	-0.12637849849342658	20
assessment	0.0	0.03	broker_net_output_per_requested_position	0.36742137746458997	0.017173257394444974	0.3314773366454713	0.40336541828370864	20
assessment	0.0	0.03	broker_selected_rank	0.012608602066575863	0.0022507153795448915	0.007897800637561677	0.01731940349559005	20
assessment	0.0	0.03	mean_degree	-7.259144999999999	0.1883183839552746	-7.653299907505689	-6.86499009249431	20
assessment	0.0	0.03	net_output_per_requested_position	0.4486251159227933	0.01868775396928398	0.4095111973422176	0.48773903450336903	20
assessment	0.0	0.03	outsourcing_rate	0.07867137183322742	0.00661465905083464	0.06482673132812089	0.09251601233833395	20
assessment	0.0	0.03	q_gap	0.7994302049317187	0.07046762318951345	0.6519397745390862	0.9469206353243511	20
assessment	0.0	0.03	rank_gap	-0.10366466783216788	0.016862034851986195	-0.13895731238364625	-0.0683720232806895	20
assessment	0.0	0.03	self_fill_rate	0.0010755169606323888	0.00043270437121681603	0.00016985630322797032	0.0019811776180368073	20
assessment	0.0	0.03	self_net_output_per_requested_position	-0.440916742980323	0.06592577447784558	-0.5789009747679512	-0.3029325111926948	20
assessment	0.5	0.0	access_fraction	-0.008308813354183998	0.001202798720610723	-0.010826300009033781	-0.005791326699334215	20
assessment	0.5	0.0	agent_holdout_rank	-0.031770989681050625	0.003670016545123101	-0.03945242259006976	-0.024089556772031496	20
assessment	0.5	0.0	betweenness	0.011906465493817537	0.005013656570933687	0.0014127616903110499	0.022400169297324024	20
assessment	0.5	0.0	broker_fill_rate	0.0021156301620044505	0.0006535669853096586	0.0007476987405842129	0.0034835615834246884	20
assessment	0.5	0.0	broker_holdout_rank	0.03685598968105068	0.014747040517743797	0.0059900791460789395	0.06772190021602242	20
assessment	0.5	0.0	broker_net_output_per_requested_position	-0.010478157202575788	0.011736899280082575	-0.035043769719956194	0.014087455314804615	20
assessment	0.5	0.0	broker_selected_rank	-0.01122821373275203	0.002378983575617058	-0.016207483581560822	-0.006248943883943238	20
assessment	0.5	0.0	mean_degree	8.474727500000007	1.4454513497405495	5.449363055516079	11.500091944483936	20
assessment	0.5	0.0	net_output_per_requested_position	0.018077863742844036	0.0035410533068179527	0.010666353993731972	0.0254893734919561	20
assessment	0.5	0.0	outsourcing_rate	0.0902545335709896	0.00571253591558668	0.07829805848799529	0.10221100865398391	20
assessment	0.5	0.0	q_gap	-0.24908668176379284	0.04316265750406669	-0.33942716217199176	-0.15874620135559392	20
assessment	0.5	0.0	rank_gap	0.06862697936210134	0.014545825684957254	0.03818221631225558	0.0990717424119471	20
assessment	0.5	0.0	self_fill_rate	4.563918002924994e-5	5.956847537909758e-5	-7.903907182363044e-5	0.0001703174318821303	20
assessment	0.5	0.0	self_net_output_per_requested_position	0.23322877921639237	0.032410068790279044	0.1653937256333103	0.30106383279947446	20
assessment	0.5	0.001	access_fraction	-0.013376941853884303	0.0015776961563836575	-0.016679097859742833	-0.010074785848025774	20
assessment	0.5	0.001	agent_holdout_rank	-0.04962681050656655	0.0034481956915361506	-0.056843967033258815	-0.04240965397987429	20
assessment	0.5	0.001	betweenness	0.10376601443791977	0.009970729333157548	0.0828970381036265	0.12463499077221304	20
assessment	0.5	0.001	broker_fill_rate	0.0044814444368092895	0.00044891937483922134	0.0035418453867808587	0.00542104348683772	20
assessment	0.5	0.001	broker_holdout_rank	-0.0013130300187617183	0.011613201995156886	-0.025619741143327653	0.022993681105804218	20
assessment	0.5	0.001	broker_net_output_per_requested_position	0.0706723748232623	0.017973766883423857	0.03305284838792869	0.10829190125859592	20
assessment	0.5	0.001	broker_selected_rank	-0.001488824614929496	0.001838502207099246	-0.005336853958470986	0.002359204728611994	20
assessment	0.5	0.001	mean_degree	0.1855375000000013	1.2471468609805414	-2.4247708794120877	2.7958458794120906	20
assessment	0.5	0.001	net_output_per_requested_position	0.07143386509087697	0.010431267947819942	0.04960097035811143	0.09326675982364252	20
assessment	0.5	0.001	outsourcing_rate	0.18357274402070478	0.007636109612554126	0.16759018291953048	0.19955530512187908	20
assessment	0.5	0.001	q_gap	-0.30073123956414993	0.05828789355344774	-0.4227292028523071	-0.17873327627599278	20
assessment	0.5	0.001	rank_gap	0.04831378048780484	0.012931565769966387	0.02124770227010208	0.07537985870550759	20
assessment	0.5	0.001	self_fill_rate	0.0008482721667359639	0.00010096419963893248	0.0006369516682575954	0.0010595926652143322	20
assessment	0.5	0.001	self_net_output_per_requested_position	0.3607601544856	0.044770630017081446	0.26705414892883383	0.4544661600423662	20
assessment	0.5	0.01	access_fraction	-0.059821512112108566	0.00336728907239603	-0.0668693291387797	-0.05277369508543743	20
assessment	0.5	0.01	agent_holdout_rank	-0.07612734990619137	0.005778773541992653	-0.08822246193456029	-0.06403223787782245	20
assessment	0.5	0.01	betweenness	0.28196437737445046	0.01574154488555633	0.24901694527543294	0.314911809473468	20
assessment	0.5	0.01	broker_fill_rate	0.006615256333541592	0.0004798166023934058	0.005610988643027726	0.007619524024055458	20
assessment	0.5	0.01	broker_holdout_rank	-0.026984024390243888	0.007098369801141322	-0.0418410831311182	-0.012126965649369572	20
assessment	0.5	0.01	broker_net_output_per_requested_position	0.21575840569139765	0.039847167410051315	0.1323573258021254	0.2991594855806699	20
assessment	0.5	0.01	broker_selected_rank	0.00479100782978924	0.002748247597324144	-0.0009611404988800355	0.010543156158458515	20
assessment	0.5	0.01	mean_degree	-9.037837499999998	0.5098015669804516	-10.104864442665132	-7.970810557334864	20
assessment	0.5	0.01	net_output_per_requested_position	0.20957822055413936	0.01809433891935526	0.17170633394731233	0.24745010716096638	20
